token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
39,"(-3, 1, 0)",120,0.024829298572315334,0.133234410489366,0.06471771058553297,0.19376930942534668,0.22017001417496584,0.4334364887487503,0.9976822093199356
40,"(-3, 1, 1)",193,0.03993378853714049,0.15274540574024364,0.07800019198081132,0.23308893523153212,0.1820197628331559,0.13797160941182224,0.8231876866620659
41,"(-3, 3, 0)",4,0.0008276432857438444,0.9870359281437129,0.9494507933536194,6.770253020815233,0.9494507933536194,0.9494507933536194,0.9986600710938838
42,"(-3, 4, 2)",96,0.019863438857852266,0.1604780094982448,0.08207949853996024,0.24543279129520784,0.1877681110626251,0.0014565062077270853,0.9985842026590701
43,"(-3, 12, 0)",1,0.0002069108214359611,0.9818790006194509,0.9316656392851368,5.849667491097674,0.9316656392851368,0.9316656392851368,0.9986321802595106
44,"(-3, 16, 0)",1,0.0002069108214359611,0.998587445798059,0.9916788755475693,11.219045196778904,0.9916788755475693,0.9916788755475693,0.9987284749063928
45,"(-3, 32, 0)",3,0.0006207324643078833,0.9981748915961182,0.9895102511324094,10.301676115709201,0.9895102511324094,0.9989168577477955,0.9988786999043542
46,"(-2, 1, 0)",48,0.009931719428926133,0.1579710922981621,0.08074397467876526,0.24137536754682498,0.310474786449229,0.9354029820631082,0.9983725950249454
47,"(-2, 1, 1)",184,0.03807159114421684,0.15193330580218867,0.07751414664186615,0.23154262413585494,0.12950839606851186,0.08066631230148547,0.9981221948972192
48,"(-2, 2, 0)",44,0.009104076143182288,0.157688622754491,0.08055621504341064,0.24075615812770337,0.10039062421254769,0.10638793165518771,0.9983901226643046
49,"(-2, 2, 2)",2,0.0004138216428719222,0.998587445798059,0.9916788755475687,11.219045196778898,0.9916788755475687,0.9916788755475687,0.9916788755475687
50,"(-2, 3, 0)",17,0.0035174839644113386,0.16849308279991737,0.08646893352543741,0.2589252488211423,0.9472745825895468,0.9472745825895468,0.9988925427271724
51,"(-2, 3, 23)",2,0.0004138216428719222,0.9973497831922363,0.9854804319489718,9.22106995275205,0.9854804319489718,0.9854804319489718,0.9854804319489718
52,"(-2, 4, 0)",4,0.0008276432857438444,0.9835292174272146,0.9365791904334375,5.995715741716117,0.998429290292231,0.9988651986533333,0.9984573473135792
